id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal1,38,FALSE,FALSE,match1,Roger Martí
goal2,54,FALSE,FALSE,match1,José Luis Morales Nogales
goal3,95,FALSE,FALSE,match1,José Luis Morales Nogales
goal4,64,FALSE,FALSE,match3,Lionel Messi
goal5,92,FALSE,FALSE,match3,Lionel Messi
goal6,83,FALSE,FALSE,match3,Philippe Coutinho
goal7,51,FALSE,TRUE,match4,David López Silva
goal8,45,FALSE,FALSE,match4,Mario Hermoso
goal9,16,FALSE,FALSE,match5,Gerard Moreno
goal10,40,FALSE,FALSE,match5,Willian José
goal11,71,FALSE,FALSE,match5,Juan Miguel Jiménez
goal12,69,FALSE,FALSE,match6,Gonzalo Escalante
goal13,5,FALSE,FALSE,match6,Álex Gallar
goal14,40,FALSE,FALSE,match6,Álex Gallar
goal15,20,FALSE,FALSE,match7,Dani Carvajal
goal16,51,FALSE,FALSE,match7,Gareth Bale
goal17,85,TRUE,FALSE,match8,Adrián Embarba
goal18,15,FALSE,FALSE,match8,Franco Vázquez
goal19,31,FALSE,FALSE,match8,André Silva
goal20,46,FALSE,FALSE,match8,André Silva
goal21,79,FALSE,FALSE,match8,André Silva
goal22,27,FALSE,FALSE,match9,Peru Nolaskoain
goal23,93,FALSE,FALSE,match9,Iker Muniain
goal24,33,FALSE,FALSE,match9,Jonathan Silva
goal25,56,FALSE,FALSE,match10,Rodrigo Moreno Machado
goal26,26,FALSE,FALSE,match10,Ángel Correa
goal27,18,FALSE,FALSE,match11,Ángel Rodríguez
goal28,90,FALSE,FALSE,match11,Jorge Molina Vidal
goal29,54,FALSE,FALSE,match12,Nabil El Zhar
goal30,88,FALSE,FALSE,match12,Nabil El Zhar
goal31,11,FALSE,FALSE,match12,David Zurutuza
goal32,17,FALSE,FALSE,match12,Asier Illarramendi
goal33,63,FALSE,FALSE,match14,Antoine Griezmann
goal34,57,FALSE,FALSE,match15,Ousmane Dembélé
goal35,62,FALSE,FALSE,match16,Esteban Granero
goal36,68,FALSE,FALSE,match16,Borja Iglesias
goal37,16,FALSE,FALSE,match17,Borja García Freire
goal38,39,TRUE,FALSE,match17,Sergio Ramos
goal39,52,TRUE,FALSE,match17,Karim Benzema
goal40,80,FALSE,FALSE,match17,Karim Benzema
goal41,59,FALSE,FALSE,match17,Gareth Bale
goal42,47,FALSE,FALSE,match19,Markel Susaeta
goal43,63,FALSE,FALSE,match19,Yuri Berchiche
goal44,71,FALSE,FALSE,match19,Jorge Miramón
goal45,87,FALSE,FALSE,match19,Ezequiel Chimy Ávila
goal46,78,TRUE,FALSE,match20,José Luis Morales Nogales
goal47,10,FALSE,FALSE,match20,Pione Sisto
goal48,35,FALSE,FALSE,match20,Maxi Gómez
goal49,26,FALSE,FALSE,match21,Marc Cardona
goal50,91,FALSE,FALSE,match21,Charles Días Barbosa
goal51,15,TRUE,FALSE,match21,Willian José
goal52,54,FALSE,FALSE,match23,Cristhian Stuani
goal53,46,FALSE,FALSE,match24,Maxi Gómez
goal54,52,FALSE,FALSE,match24,Iago Aspas
goal55,17,FALSE,FALSE,match25,Gareth Bale
goal56,48,FALSE,FALSE,match25,Karim Benzema
goal57,61,FALSE,FALSE,match25,Karim Benzema
goal58,66,TRUE,FALSE,match25,Sergio Ramos
goal59,24,TRUE,FALSE,match25,Guido Carrillo
goal60,57,FALSE,FALSE,match26,Borja Bastón
goal61,59,FALSE,FALSE,match26,Rubén Sobrino
goal62,42,TRUE,FALSE,match26,Léo Baptistão
goal63,16,FALSE,FALSE,match27,Lionel Messi
goal64,61,FALSE,FALSE,match27,Lionel Messi
goal65,24,FALSE,TRUE,match27,Jorge Pulido
goal66,39,FALSE,FALSE,match27,Luis Suárez
goal67,93,TRUE,FALSE,match27,Luis Suárez
goal68,48,FALSE,FALSE,match27,Ousmane Dembélé
goal69,52,FALSE,FALSE,match27,Ivan Rakitic
goal70,81,FALSE,FALSE,match27,Jordi Alba
goal71,3,FALSE,FALSE,match27,Juan Camilo Hernández Suárez
goal72,42,FALSE,FALSE,match27,Álex Gallar
goal73,80,FALSE,FALSE,match28,Joaquín Sánchez
