id_match,date,place,winner_team_FT,winner_team_HT
match1,2018-08-17,Benito Villamarín,AwayTeam,AwayTeam
match2,2018-08-17,Municipal de Montilivi,Draw,Draw
match3,2018-08-18,Spotify Camp Nou,HomeTeam,Draw
match4,2018-08-18,Balaídos ,Draw,AwayTeam
match5,2018-08-18,Estadio de la Cerámica,AwayTeam,Draw
match6,2018-08-19,Ipurúa,AwayTeam,AwayTeam
match7,2018-08-19,Santiago Bernabéu,HomeTeam,HomeTeam
match8,2018-08-19,Estadio de Vallecas,AwayTeam,AwayTeam
match9,2018-08-20,San Mamés,HomeTeam,Draw
match10,2018-08-20,Mestalla,Draw,AwayTeam
match11,2018-08-24,Coliseum,HomeTeam,HomeTeam
match12,2018-08-24,Municipal de Butarque,Draw,AwayTeam
match13,2018-08-25,Mendizorroza,Draw,Draw
match14,2018-08-25,Cívitas Metropolitano,HomeTeam,Draw
match15,2018-08-25,José Zorrilla,AwayTeam,Draw
match16,2018-08-26,RCDE Stadium,HomeTeam,Draw
match17,2018-08-26,Municipal de Montilivi,AwayTeam,Draw
match18,2018-08-26,Ramón Sánchez-Pizjuán,Draw,Draw
match19,2018-08-27,San Mamés,Draw,Draw
match20,2018-08-27,Ciutat de Valencia,AwayTeam,AwayTeam
match21,2018-08-31,Ipurúa,HomeTeam,Draw
match22,2018-08-31,Coliseum,Draw,Draw
match23,2018-08-31,Estadio de la Cerámica,AwayTeam,Draw
match24,2018-09-01,Balaídos ,HomeTeam,Draw
match25,2018-09-01,Santiago Bernabéu,HomeTeam,Draw
match26,2018-09-02,Mendizorroza,HomeTeam,AwayTeam
match27,2018-09-02,Spotify Camp Nou,HomeTeam,HomeTeam
match28,2018-09-02,Benito Villamarín,HomeTeam,Draw
match29,2018-09-02,Ciutat de Valencia,Draw,HomeTeam
match30,2018-09-14,Estadio El Alcoraz,AwayTeam,AwayTeam
match31,2018-09-15,San Mamés,Draw,HomeTeam
match32,2018-09-15,Cívitas Metropolitano,Draw,Draw
match33,2018-09-15,Reale Arena,AwayTeam,HomeTeam
match34,2018-09-15,Mestalla,Draw,Draw
match35,2018-09-16,RCDE Stadium,HomeTeam,Draw
match36,2018-09-16,Municipal de Butarque,AwayTeam,Draw
match37,2018-09-16,Ramón Sánchez-Pizjuán,AwayTeam,AwayTeam
match38,2018-09-16,José Zorrilla,AwayTeam,Draw
match39,2018-09-17,Municipal de Montilivi,HomeTeam,HomeTeam
