player_name,birth_year,nationality,position,number,team_name
A. Remiro,1995,Spanish,Goalkeeper,1,Athletic Club
Iago Herrerín,1988,Spanish,Goalkeeper,13,Athletic Club
Unai Simón,1997,Spanish,Goalkeeper,25,Athletic Club
Unai Nuñez,1997,Spanish,Defender,3,Athletic Club
Iñigo Martínez,1991,Spanish,Defender,4,Athletic Club
Yeray Álvarez,1995,Spanish,Defender,5,Athletic Club
Mikel San José,1989,Spanish,Defender,6,Athletic Club
Yuri Berchiche,1990,Spanish,Defender,12,Athletic Club
Iñigo Lekue,1993,Spanish,Defender,15,Athletic Club
Mikel Balenziaga,1988,Spanish,Defender,24,Athletic Club
Beñat Etxebarria,1987,Spanish,Midfielder,7,Athletic Club
Ander Iturraspe,1989,Spanish,Midfielder,8,Athletic Club
Iñigo Córdoba,1997,Spanish,Midfielder,11,Athletic Club
Markel Susaeta,1987,Spanish,Midfielder,14,Athletic Club
Dani García,1990,Spanish,Midfielder,16,Athletic Club
Mikel Rico,1984,Spanish,Midfielder,17,Athletic Club
Óscar De Marcos,1989,Spanish,Midfielder,18,Athletic Club
Ibai Gómez,1989,Spanish,Midfielder,19,Athletic Club
Ander Capa,1992,Spanish,Midfielder,21,Athletic Club
Raúl García Escudero,1986,Spanish,Midfielder,22,Athletic Club
Unai López,1995,Spanish,Midfielder,23,Athletic Club
Iñigo Vicente,1998,Spanish,Midfielder,32,Athletic Club
Peru Nolaskoain,1998,Spanish,Midfielder,99,Athletic Club
Kenan Kodro,1993,Bosnian,Forward,2,Athletic Club
Iñaki Williams,1994,Spanish,Forward,9,Athletic Club
Iker Muniain,1992,Spanish,Forward,10,Athletic Club
Aritz Aduriz,1981,Spanish,Forward,20,Athletic Club
Jaume Costa,1988,Spanish,Defender,99,Athletic Club
Antonio Adán,1987,Spanish,Goalkeeper,1,Atlético de Madrid
Jan Oblak,1993,Slovenian,Goalkeeper,13,Atlético de Madrid
Diego Godín,1986,Uruguayan,Defender,2,Atlético de Madrid
Filipe Luís,1985,Brazilian,Defender,3,Atlético de Madrid
Santiago Arias,1992,Colombian,Defender,4,Atlético de Madrid
Stefan Savic,1991,Montenegrin,Defender,15,Atlético de Madrid
Nehuén Pérez,2000,Argentinian,Defender,18,Atlético de Madrid
Juanfran Torres,1985,Spanish,Defender,20,Atlético de Madrid
Lucas Hernández,1996,French,Defender,21,Atlético de Madrid
José María Giménez,1995,Uruguayan,Defender,24,Atlético de Madrid
Andrés Solano,1998,Spanish,Defender,33,Atlético de Madrid
Francisco Javier Montero Rubio,1999,Spanish,Defender,35,Atlético de Madrid
Manuel Sánchez,1996,Spanish,Defender,54,Atlético de Madrid
Yakubu Partey,1993,Ghanaian,Midfielder,5,Atlético de Madrid
Koke Resurrección,1992,Spanish,Midfielder,6,Atlético de Madrid
Saúl Ñíguez,1994,Spanish,Midfielder,8,Atlético de Madrid
Rodrigo Moreno Machado,1991,Spanish,Midfielder,14,Atlético de Madrid
Rodri Hernández,1996,Spanish,Midfielder,16,Atlético de Madrid
Cristian Rodríguez,1985,Uruguayan,Midfielder,28,Atlético de Madrid
Mikel Carro,1997,Spanish,Midfielder,30,Atlético de Madrid
Borja Garcés Moreno,1999,Spanish,Midfielder,32,Atlético de Madrid
Víctor Mollejo,2001,Spanish,Midfielder,40,Atlético de Madrid
Joaquín Muñoz,1999,Spanish,Midfielder,47,Atlético de Madrid
Sergio Camello,2001,Spanish,Midfielder,55,Atlético de Madrid
Gustavo Assunção,2000,Brazilian,Midfielder,57,Atlético de Madrid
Antoine Griezmann,1991,French,Forward,7,Atlético de Madrid
Nikola Kalinic,1988,Croatian,Forward,9,Atlético de Madrid
Ángel Correa,1995,Argentinian,Forward,10,Atlético de Madrid
Thomas Lemar,1995,French,Forward,11,Atlético de Madrid
Diego Costa,1988,Spanish,Forward,19,Atlético de Madrid
Álvaro Morata,1992,Spanish,Forward,22,Atlético de Madrid
Vitolo Machín,1989,Spanish,Forward,23,Atlético de Madrid
Iván Cuéllar,1984,Spanish,Goalkeeper,1,CD Leganés
Andrés Iniesta,1984,Spanish,Goalkeeper,13,CD Leganés
Andriy Lunin,1999,Ukrainian,Goalkeeper,29,CD Leganés
David Tejero,1996,Spanish,Goalkeeper,31,CD Leganés
Juan Francisco,1985,Spanish,Defender,2,CD Leganés
Unai Bustinza,1992,Spanish,Defender,3,CD Leganés
Diego Reyes,1992,Mexican,Defender,4,CD Leganés
Jonathan Silva,1994,Argentinian,Defender,5,CD Leganés
Allan Romeo Nyom,1988,Cameroonian,Defender,12,CD Leganés
Vasyl Kravets,1997,Ukrainian,Defender,14,CD Leganés
Rodrigo Tarín,1996,Spanish,Defender,15,CD Leganés
Nereo Champagne,1983,Argentinian,Defender,19,CD Leganés
Dimitrios Siovas,1988,Greek,Defender,22,CD Leganés
Kenneth Omeruo,1993,Nigerian,Defender,24,CD Leganés
Óscar Rodríguez Arnaiz,1998,Spanish,Midfielder,99,CD Leganés
