player_name,birth_year,nationality,position,number,team_name,Assists
A. Remiro,1995,Spanish,Goalkeeper,1,Athletic Club,0
Iago Herrerín,1988,Spanish,Goalkeeper,13,Athletic Club,0
Unai Simón,1997,Spanish,Goalkeeper,25,Athletic Club,1
Unai Nuñez,1997,Spanish,Defender,3,Athletic Club,0
Iñigo Martínez,1991,Spanish,Defender,4,Athletic Club,0
Yeray Álvarez,1995,Spanish,Defender,5,Athletic Club,0
Mikel San José,1989,Spanish,Defender,6,Athletic Club,0
Yuri Berchiche,1990,Spanish,Defender,12,Athletic Club,0
Iñigo Lekue,1993,Spanish,Defender,15,Athletic Club,2
Mikel Balenziaga,1988,Spanish,Defender,24,Athletic Club,0
Beñat Etxebarria,1987,Spanish,Midfielder,7,Athletic Club,0
Ander Iturraspe,1989,Spanish,Midfielder,8,Athletic Club,0
Iñigo Córdoba,1997,Spanish,Midfielder,11,Athletic Club,2
Markel Susaeta,1987,Spanish,Midfielder,14,Athletic Club,0
Dani García,1990,Spanish,Midfielder,16,Athletic Club,5
Mikel Rico,1984,Spanish,Midfielder,17,Athletic Club,2
Óscar De Marcos,1989,Spanish,Midfielder,18,Athletic Club,0
Ibai Gómez,1989,Spanish,Midfielder,19,Athletic Club,0
Ander Capa,1992,Spanish,Midfielder,21,Athletic Club,2
Raúl García Escudero,1986,Spanish,Midfielder,22,Athletic Club,4
Unai López,1995,Spanish,Midfielder,23,Athletic Club,0
Iñigo Vicente,1998,Spanish,Midfielder,32,Athletic Club,3
Peru Nolaskoain,1998,Spanish,Midfielder,99,Athletic Club,0
Kenan Kodro,1993,Bosnian,Forward,2,Athletic Club,0
Iñaki Williams,1994,Spanish,Forward,9,Athletic Club,0
Iker Muniain,1992,Spanish,Forward,10,Athletic Club,0
Aritz Aduriz,1981,Spanish,Forward,20,Athletic Club,4
Jaume Costa,1988,Spanish,Defender,99,Athletic Club,4
Antonio Adán,1987,Spanish,Goalkeeper,1,Atlético de Madrid,0
Jan Oblak,1993,Slovenian,Goalkeeper,13,Atlético de Madrid,0
Diego Godín,1986,Uruguayan,Defender,2,Atlético de Madrid,0
Filipe Luís,1985,Brazilian,Defender,3,Atlético de Madrid,0
Santiago Arias,1992,Colombian,Defender,4,Atlético de Madrid,1
Stefan Savic,1991,Montenegrin,Defender,15,Atlético de Madrid,2
Nehuén Pérez,2000,Argentinian,Defender,18,Atlético de Madrid,1
Juanfran Torres,1985,Spanish,Defender,20,Atlético de Madrid,2
Lucas Hernández,1996,French,Defender,21,Atlético de Madrid,0
José María Giménez,1995,Uruguayan,Defender,24,Atlético de Madrid,2
Andrés Solano,1998,Spanish,Defender,33,Atlético de Madrid,0
Francisco Javier Montero Rubio,1999,Spanish,Defender,35,Atlético de Madrid,0
Manuel Sánchez,1996,Spanish,Defender,54,Atlético de Madrid,0
Yakubu Partey,1993,Ghanaian,Midfielder,5,Atlético de Madrid,0
Koke Resurrección,1992,Spanish,Midfielder,6,Atlético de Madrid,0
Saúl Ñíguez,1994,Spanish,Midfielder,8,Atlético de Madrid,4
Rodrigo Moreno Machado,1991,Spanish,Midfielder,14,Atlético de Madrid,4
Rodri Hernández,1996,Spanish,Midfielder,16,Atlético de Madrid,1
Cristian Rodríguez,1985,Uruguayan,Midfielder,28,Atlético de Madrid,1
Mikel Carro,1997,Spanish,Midfielder,30,Atlético de Madrid,0
Borja Garcés Moreno,1999,Spanish,Midfielder,32,Atlético de Madrid,0
Víctor Mollejo,2001,Spanish,Midfielder,40,Atlético de Madrid,0
